room,time,players,killed,task
,97.00155448913574,[],[],Début de round
Storage,29.540894031524658,[],[],
Cafeteria,30.790271520614624,[],[],
Storage,39.986361265182495,[],[],
Storage,51.55408239364624,[],[],Fuel Engine (Storage)
Admin,89.38610649108887,[],[],
Admin,97.33173966407776,[],[],Swipe Card
Cafeteria,136.48331117630005,[],[],
Admin,139.2260501384735,[],[],
Cafeteria,148.08376741409302,[],[],
Upper Engine,164.41026830673218,[],[],
Reactor,169.2187056541443,[],[],
Cafeteria,170.85565662384033,[],[],
Upper Engine,185.7200469970703,[],[],
Reactor,197.15154147148132,[],[],
Reactor,209.31491708755493,[],[],Unlock Manifolds
Lower Engine,257.8824462890625,[],[],
Lower Engine,259.69653511047363,['GREEN_PLAYER'],[],
Lower Engine,266.8697090148926,[],[],
Storage,273.4285433292389,[],[],
Lower Engine,276.28668212890625,[],[],
,295.9743938446045,[],[],J'ai fini mes tâches !
Electrical,317.09905982017517,[],[],
Storage,332.90720295906067,[],[],
Admin,347.0231330394745,[],[],
Storage,348.60670375823975,[],[],
Admin,355.6221146583557,[],[],
Cafeteria,372.5702738761902,[],[],
Weapons,387.0676381587982,[],[],
O2,404.29298281669617,[],[],
Navigation,416.36594676971436,[],[],
Navigation,420.09765219688416,['ORANGE_PLAYER'],[],
